Link,Name,Subtitle,Price,Sale Price
https://www.nike.com/t/alpha-huarache-4-keystone-mens-baseball-cleats-dGXhG3/FV6098-001,Nike Alpha Huarache 4 Keystone,Men's Baseball Cleats,$45,$34.97
https://www.nike.com/t/air-max-90-premium-mens-shoes-FJdh9VXk/HF3449-100,Nike Air Max 90 Premium,Men's Shoes,$140,$84.97
https://www.nike.com/t/star-runner-4-baby-toddler-shoes-eSaCSCya/DX7616-400,Nike Star Runner 4,Baby/Toddler Shoes,$47,$39.97
https://www.nike.com/t/metcon-9-amp-mens-workout-shoes-qFBS2f/DZ2616-002,Nike Metcon 9 AMP,Men's Workout Shoes,$160,$112.97
https://www.nike.com/t/air-jordan-1-mid-big-kids-shoes-H5qqbF/FD8780-181,Air Jordan 1 Mid,Big Kids' Shoes,$110,$65.97
https://www.nike.com/t/j-force-1-low-lx-sp-womens-shoes-WHt803/DR0424-200,Nike J Force 1 Low LX SP,Women's Shoes,$175,$148.97
https://www.nike.com/t/blazer-low-platform-womens-shoes-X8Nl4M/DJ0292-105,Nike Blazer Low Platform,Women's Shoes,$100,$79.97
https://www.nike.com/t/oregon-air-max-solo-mens-shoes-Xrk81K/FZ4837-001,Oregon Nike Air Max Solo,Men's Shoes,$110,$89.97
https://www.nike.com/t/waffle-one-womens-shoes-qk5cz3/DC2533-001,Nike Waffle One,Women's Shoes,$105,$89.97
https://www.nike.com/t/court-vision-alta-womens-shoes-TbljXk/DZ5394-101,Nike Court Vision Alta,Women's Shoes,$90,$76.97
https://www.nike.com/t/phoenix-waffle-womens-shoes-jRhRTR/FJ1409-500,Nike Phoenix Waffle,Women's Shoes,$100,$70.97
https://www.nike.com/t/air-max-motif-big-kids-shoe-g8s5hP/DH9388-005,Nike Air Max Motif,Big Kids' Shoe,$120,$59.97
https://www.nike.com/t/blazer-mid-77-se-dance-big-kids-shoes-x0CS3s/DH8640-102,Nike Blazer Mid '77 SE Dance,Big Kids' Shoes,$95,$71.97
https://www.nike.com/t/isofly-big-kids-basketball-shoes-FxBH5q/FN4384-003,Nike IsoFly,Big Kids' Basketball Shoes,$70,$59.97
https://www.nike.com/t/air-max-1-sc-mens-shoes-bNNbQl/DZ4549-101,Nike Air Max 1 SC,Men's Shoes,$150,$109.97
https://www.nike.com/t/jordan-sophia-womens-slides-bW5vFq/DO8863-006,Jordan Sophia,Women's Slides,$85,$63.97
https://www.nike.com/t/lebron-witness-8-basketball-shoes-GEKpJ9OS/FB9944-401,LeBron Witness 8,Basketball Shoes,$110,$64.97
https://www.nike.com/t/gamma-force-womens-shoes-4TR9Xf/DX9176-106,Nike Gamma Force,Women's Shoes,$95,$57.97
https://www.nike.com/t/air-zoom-infinity-tour-2-golf-shoes-wide-HH7SLD/FD0218-100,Nike Air Zoom Infinity Tour 2,Golf Shoes (Wide),$170,$144.97
https://www.nike.com/t/pegasus-flyease-womens-easy-on-off-road-running-shoes-7f02dx/DJ7383-001,Nike Pegasus FlyEase,Women's Easy On/Off Road Running Shoes,$140,$94.97
https://www.nike.com/t/jr-mercurial-vapor-16-club-little-big-kids-mg-low-top-soccer-cleats-Q1LdXs/FQ8286-400,Nike Jr. Mercurial Vapor 16 Club,Little/Big Kids' MG Low-Top Soccer Cleats,$50,$42.97
https://www.nike.com/t/pegasus-plus-womens-road-running-shoes-NBF5nW/FQ7261-400,Nike Pegasus Plus,Women's Road Running Shoes,$180,$135.97
https://www.nike.com/t/react-infinity-3-womens-road-running-shoes-XpNmlR/DZ5215-001,Nike React Infinity 3,Women's Road Running Shoes,$160,$104.97
https://www.nike.com/t/air-max-systm-big-kids-shoes-jh1PDw/DQ0284-001,Nike Air Max SYSTM,Big Kids' Shoes,$85,$72.97
https://www.nike.com/t/giannis-immortality-4-little-kids-shoes-RhddJp/FZ6733-400,Giannis Immortality 4,Little Kids' Shoes,$67,$56.97
https://www.nike.com/t/gt-cut-3-se-big-kids-basketball-shoes-hlfWgm/FV5627-400,Nike G.T. Cut 3 SE,Big Kids' Basketball Shoes,$95,$71.97
